      0.00      3.27  0 2-142-10  
      2.95      4.27  0 2-142-10  
      5.75     -1.73  0 2-142-10  
      1.30     -7.64  1 1-140-00  
      4.27     11.36  1 1-140-00  
 
      0.00      4.61  0 2-142-10  
      2.95      5.61  0 2-142-10  
      5.75     -0.39  0 2-142-10  
      1.30     -4.58  1 1-140-00  
      4.27     14.42  1 1-140-00  
 
      0.00      0.00  0 2-142-10  
      2.95      1.00  0 2-142-10  
      5.75     -5.00  0 2-142-10  
      1.30    -10.03  1 1-140-00  
      4.27      8.97  1 1-140-00  
 
